class,kind,type,qualifier,severity,line,procedure,procedure_id,file,trace,key,qualifier_tags,hash,bug_id,always_report,advice
,ERROR,CONTEXT_LEAK,"Context class android.content.Context may leak during method com.susion.boring.SAppApplication.attachBaseContext:
  Static field com.susion.boring.SAppApplication.sContext |->
  Leaked class android.content.Context",HIGH,31,"void SAppApplication.attachBaseContext(Context)","com.susion.boring.SAppApplication.attachBaseContext(android.content.Context):void.6c980852deef8be2eb4ee81ba377de56",app/src/main/java/com/susion/boring/SAppApplication.java,"{""trace"":[{""level"":0,""filename"":""app/src/main/java/com/susion/boring/SAppApplication.java"",""line_number"":29,""description"":""start of procedure attachBaseContext(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""void SAppApplication.attachBaseContext(Context)""},{""tag"":""name_id"",""value"":""com.susion.boring.SAppApplication.attachBaseContext(android.content.Context):void.6c980852deef8be2eb4ee81ba377de56""}]},{""level"":0,""filename"":""app/src/main/java/com/susion/boring/SAppApplication.java"",""line_number"":30,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/com/susion/boring/SAppApplication.java"",""line_number"":31,""description"":""return from a call to void SAppApplication.attachBaseContext(Context)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_end""},{""tag"":""name"",""value"":""void SAppApplication.attachBaseContext(Context)""},{""tag"":""name_id"",""value"":""com.susion.boring.SAppApplication.attachBaseContext(android.content.Context):void.6c980852deef8be2eb4ee81ba377de56""}]}]}","493786131","<qualifier_tags></qualifier_tags>","516397355","1","false",""
,ERROR,CONTEXT_LEAK,"Context class android.content.Context may leak during method com.susion.boring.SAppApplication.getAppContext:
  Static field com.susion.boring.SAppApplication.sContext |->
  Leaked class android.content.Context",HIGH,34,"Context SAppApplication.getAppContext()","com.susion.boring.SAppApplication.getAppContext():android.content.Context.b52546c7984cdebd43f102ecc43f4863",app/src/main/java/com/susion/boring/SAppApplication.java,"{""trace"":[{""level"":0,""filename"":""app/src/main/java/com/susion/boring/SAppApplication.java"",""line_number"":33,""description"":""start of procedure getAppContext()"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""Context SAppApplication.getAppContext()""},{""tag"":""name_id"",""value"":""com.susion.boring.SAppApplication.getAppContext():android.content.Context.b52546c7984cdebd43f102ecc43f4863""}]},{""level"":0,""filename"":""app/src/main/java/com/susion/boring/SAppApplication.java"",""line_number"":34,""description"":""return from a call to Context SAppApplication.getAppContext()"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_end""},{""tag"":""name"",""value"":""Context SAppApplication.getAppContext()""},{""tag"":""name_id"",""value"":""com.susion.boring.SAppApplication.getAppContext():android.content.Context.b52546c7984cdebd43f102ecc43f4863""}]}]}","105110949","<qualifier_tags></qualifier_tags>","441461686","2","false",""
